distance_category,length,seed,algorithm,direct_distance,execution_time,operations,success,path_length
10-50,50,500059,Dijkstra,38.0789,0.546054,50962,True,43.6595
10-50,50,500059,Breadth-First,38.0789,0.312314,47589,True,43.8523
10-50,50,500059,Theta*,38.0789,0.028301,411,True,39.887
10-50,50,500060,A*,40.05,0.008975,494,True,42.5836
10-50,50,500060,Dijkstra,40.05,0.617385,57973,True,42.5836
10-50,50,500060,Breadth-First,40.05,0.220892,33776,True,42.5836
10-50,50,500060,Theta*,40.05,0.011665,29,True,40.05
10-50,50,500061,A*,13.6015,0.00138,46,True,15.3424
10-50,50,500061,Dijkstra,13.6015,0.109624,9931,True,15.3424
10-50,50,500061,Breadth-First,13.6015,0.0622,9418,True,15.3424
10-50,50,500061,Theta*,13.6015,0.008386,13,True,13.6015
10-50,50,500062,A*,44.1928,0.03675,3257,True,53.0518
10-50,50,500062,Dijkstra,44.1928,0.884015,82824,True,53.0518
10-50,50,500062,Breadth-First,44.1928,0.442748,62962,True,56.7544
10-50,50,500062,Theta*,44.1928,0.080925,2573,True,50.9334
10-50,50,500063,A*,47.2969,0.036811,3013,True,52.8988
10-50,50,500063,Dijkstra,47.2969,1.057123,98534,True,52.8988
10-50,50,500063,Breadth-First,47.2969,0.609456,90910,True,55.0949
10-50,50,500063,Theta*,47.2969,0.041687,846,True,49.7629
10-50,50,500064,A*,20.9762,0.011696,842,True,26.2419
10-50,50,500064,Dijkstra,20.9762,0.301135,27344,True,26.2419
10-50,50,500064,Breadth-First,20.9762,0.182385,22052,True,26.4347
10-50,50,500064,Theta*,20.9762,0.024494,379,True,24.5802
10-50,50,500065,A*,14.7986,0.000817,19,True,16.6603
10-50,50,500065,Dijkstra,14.7986,0.108379,9772,True,16.6603
10-50,50,500065,Breadth-First,14.7986,0.063749,9559,True,16.7566
10-50,50,500065,Theta*,14.7986,0.008358,14,True,15.5394
10-50,50,500066,A*,24.1661,0.003762,176,True,27.2207
10-50,50,500066,Dijkstra,24.1661,0.322732,29722,True,27.2207
10-50,50,500066,Breadth-First,24.1661,0.176498,26543,True,27.2207
10-50,50,500066,Theta*,24.1661,0.010139,23,True,24.1661
10-50,50,500067,A*,32.3883,0.010475,691,True,36.5133
10-50,50,500067,Dijkstra,32.3883,0.695996,63825,True,36.5133
10-50,50,500067,Breadth-First,32.3883,0.402355,60632,True,36.5133
10-50,50,500067,Theta*,32.3883,0.009963,30,True,33.0
10-50,50,500068,A*,22.0454,0.004346,249,True,24.7313
10-50,50,500068,Dijkstra,22.0454,0.397111,26141,True,24.7313
10-50,50,500068,Breadth-First,22.0454,0.148898,21380,True,24.7313
10-50,50,500068,Theta*,22.0454,0.009958,20,True,22.0454
10-50,50,500069,A*,17.2916,0.001609,81,True,19.4887
10-50,50,500069,Dijkstra,17.2916,0.239197,21693,True,19.4887
10-50,50,500069,Breadth-First,17.2916,0.120775,18314,True,19.4887
10-50,50,500069,Theta*,17.2916,0.00852,16,True,17.2916
10-50,50,500070,A*,18.8944,0.003729,245,True,23.3383
10-50,50,500070,Dijkstra,18.8944,0.272145,25636,True,23.3383
10-50,50,500070,Breadth-First,18.8944,0.128481,19806,True,23.974
10-50,50,500070,Theta*,18.8944,0.011363,122,True,22.3835
10-50,50,500071,A*,10.3923,0.000507,21,True,11.4641
10-50,50,500071,Dijkstra,10.3923,0.03461,3139,True,11.4641
10-50,50,500071,Breadth-First,10.3923,0.025269,3817,True,11.5605
10-50,50,500071,Theta*,10.3923,0.000595,11,True,10.3923
10-50,50,500072,A*,27.4591,0.01146,214,True,30.1988
10-50,50,500072,Dijkstra,27.4591,0.422263,39800,True,30.1988
10-50,50,500072,Breadth-First,27.4591,0.160264,24415,True,30.2952
